URL,Discount,Rating,Brand,Item,MRP,Reviews
tops/antheaa/antheaa-tie-up-neck-puff-sleeve-chiffon-a-line-top/28243968/buy,Rs. 1124,4.3,Antheaa,Tie-Up Neck Chiffon A-Line Top,Rs. 2499,60
tops/her+by+invictus/her-by-invictus-solid-shirt-style-top/26669104/buy,Rs. 719,4.1,her by invictus,Shirt Style Top,Rs. 1799,6.6k
tops/quiero/quiero-black--pink-floral-print-bishop-sleeves-crop-top/20933726/buy,Rs. 585,4.3,QUIERO,Print Bishop Sleeves Top,Rs. 1950,1.6k
tops/aahwan/aahwan-woman-solid-square-neck-fitted-crop-top/20663752/buy,Rs. 599,3.7,AAHWAN,Woman Fitted Crop Top,Rs. 1999,1.9k
tops/rain+%26+rainbow/rain--rainbow-floral-printed-bell-sleeve-cotton-empire-top/25327986/buy,Rs. 997,4.2,Rain & Rainbow,Printed Bell Sleeve Empire Top,Rs. 1995,1k
tops/fablestreet/fablestreet-white-top-with-boat-neck/11552708/buy,Rs. 1383,4.2,FableStreet,Boat Neck Top,Rs. 1895,1.3k
tops/mast+%26+harbour/mast--harbour-women-white-self-design-ruffles-schiffli-top/15877180/buy,Rs. 639,4.1,Mast & Harbour,Women Ruffles Schiffli Top,Rs. 1599,837
tops/h%26m/hm-cotton-balloon-sleeve-gathered-top/28790472/buy,Rs. 1399,,H&M,Balloon Sleeve Gathered Top,Rs. 1999,
tops/her+by+invictus/her-by-invictus-solid-top/25602956/buy,Rs. 719,4.1,her by invictus,Solid Top,Rs. 1799,6.6k
tops/street+9/street-9-black-embellished-peplum-top/7287258/buy,Rs. 474,4.3,STREET 9,Embellished Peplum Top,Rs. 1899,8.2k
tops/mast+%26+harbour/mast--harbour-women-brown-solid-crop-boxy-top/8325299/buy,Rs. 379,4.2,Mast & Harbour,Solid Crop Boxy Top,Rs. 999,960
tops/azira/azira-red-print-ethnic-top/21916606/buy,Rs. 549,4.3,Azira,Print Ethnic Top,Rs. 999,5.2k
tops/the+souled+store/the-souled-store-black-floral-printed-crop-top/27493898/buy,Rs. 1004,4.2,The Souled Store,Floral Printed Top,Rs. 1499,98
tops/chemistry/chemistry-puff-sleeve-georgette-top/24623634/buy,Rs. 554,4.2,Chemistry,Puff Sleeve Georgette Top,Rs. 1849,721
tops/baesd/baesd-halter-neck-fitted-top/24142622/buy,Rs. 559,4.2,BAESD,Halter Neck Fitted Top,Rs. 1999,173
tops/maaesa/maaesa-green--off-white-tie-and-dye-shirt-style-top/16408288/buy,Rs. 698,4.1,Maaesa,Tie and Dye Shirt Style Top,Rs. 1995,4.6k
tops/mango/mango-ruffled-v-neck-top/29037610/buy,Rs. 1293,3.9,MANGO,Ruffled V-Neck Top,Rs. 1990,34
tops/qomn/qomn-navy-floral-print-mandarin-collar-pure-cotton-top/21870298/buy,Rs. 914,4.4,QOMN,Printed Mandarin Collar Top,Rs. 1499,1.4k
tops/qomn/qomn-floral-printed-mandarin-collar-pure-cotton-top/21870296/buy,Rs. 914,4.4,QOMN,Printed Mandarin Collar Top,Rs. 1499,1.4k
tops/tokyo+talkies/tokyo-talkies-black-floral-peplum-top/16099814/buy,Rs. 329,4.2,Tokyo Talkies,Floral Peplum Top,Rs. 749,2.7k
tops/h%26m/hm-women-linen-blend-cropped-blouse/28659766/buy,Rs. 899,4,H&M,Women Linen-Blend Blouse,Rs. 1499,81
tops/dressberry/dressberry-red--blue-embroidered-a-line-top/11005624/buy,Rs. 577,4.1,DressBerry,Embroidered A-Line Top,Rs. 1649,1.3k
tops/stylecast/stylecast-white-self-design-long-sleeves-top/26951310/buy,Rs. 1149,4,StyleCast,Self Design Top,Rs. 3199,29
tops/winered/winered-mustard--blue-embroidered-a-line-top/14376022/buy,Rs. 799,4.2,WineRed,Embroidered A-Line Top,Rs. 1299,3.6k
tops/sassafras/sassafras-brown--beige-floral-print-ruffles-top/16707852/buy,Rs. 599,4.2,SASSAFRAS,Floral Print Ruffles Top,Rs. 1499,2k
tops/berrybird/berrybird-ribbed-scoop-neck-sleeveless-crop-tank-top/27520254/buy,Rs. 492,4.4,BerryBird,Ribbed Crop Tank Top,Rs. 1449,993
tops/baesd/baesd-ribbed-square-neck-knitted-casual-top/25677292/buy,Rs. 383,3.9,BAESD,Ribbed Square Neck Top,Rs. 1599,1.4k
tops/fithub/fithub-shirt-style-cuban-collar-cuffed-sleeves-top/29793344/buy,Rs. 759,4.3,FITHUB,Shirt Style Top,Rs. 1999,1.6k
tops/athena+ample/athena-ample-plus-size-sweetheart-neck-puff-sleeves-casual-top/22549846/buy,Rs. 745,4.3,Athena Ample,Plus Size Puff Sleeves Top,Rs. 1695,984
tops/roadster/roadster-women-burgundy-solid-high-low-pure-cotton-top/8330217/buy,Rs. 239,4.1,Roadster,Solid High-Low Pure Cotton Top,Rs. 799,12.1k
tops/dream+beauty+fashion/dream-beauty-fashion-beige-animal-print-sweetheart-neck-top/19690420/buy,Rs. 395,4,Dream Beauty Fashion,Animal Print Sweetheart Neck Top,Rs. 1099,2.8k
tops/taavi/taavi-women-rust-orange-kalamkari-hand-block-printed-pleated-a-line-pure-cotton-top/10179111/buy,Rs. 781,4.1,Taavi,Kalamkari Handblock Print Pure Cotton Top,Rs. 2299,1.1k
tops/winza+designer/winza-designer-floral-embroidered-round-neck-empire-top/22701840/buy,Rs. 849,4.3,Winza Designer,Embroidered Empire Top,Rs. 2499,3.7k
tops/sightbomb/sightbomb-long-sleeves-cotton-wrap-crop-top/24537572/buy,,4.3,SIGHTBOMB,Cotton Wrap Crop Top,,651
tops/shae+by+sassafras/shae-by-sassafras-black--golden-zari-embroidered-liva-a-line-top/14572254/buy,Rs. 503,4.3,Shae by SASSAFRAS,Zari Embroidered A-Line Top,Rs. 1399,3k
tops/stylecast/stylecast-black-lace-inserts-semi-sheer-top/28045848/buy,Rs. 1049,4.4,StyleCast,Lace Inserts Semi Sheer Top,Rs. 2649,46
tops/anouk/anouk-women-white--blue-floral-print-puff-sleeve-pure-cotton-a-line-top/15578604/buy,Rs. 509,4,Anouk,Floral Print A-Line Top,Rs. 1699,2.2k
tops/mango/mango-ribbed-striped-drop-shoulder-sleeves-top/30000992/buy,Rs. 2871,,MANGO,Striped Drop-Shoulder Top,Rs. 3190,
tops/marks+%26+spencer/marks--spencer-floral-printed-puffed-sleeves-top/28979978/buy,,4.6,Marks & Spencer,Printed Puffed Sleeves Top,,8
tops/trendyol/trendyol-high-neck-long-sleeves-semi-sheer-top/26228078/buy,Rs. 1759,4.4,Trendyol,High Neck Semi Sheer Top,Rs. 2199,115
tops/forever+new/forever-new-mandarin-collar-crepe-top/30038180/buy,,,Forever New,Mandarin Collar Crepe Top,,
thermal-tops/jockey/jockey-men-black-solid-full-sleeve-thermal-top/14983396/buy,,4.5,Jockey,Men Solid Thermal Top,,2.3k
tops/janasya/janasya-womens-blue-denim-faded-flared-top/21253104/buy,Rs. 1498,4.3,Janasya,Mandarin Collar Denim Top,Rs. 2939,889
tops/sera/sera-pink--purple-tie-and-dye-puff-sleeves-chiffon-top/17811478/buy,Rs. 402,4.3,Sera,Tie and Dye Chiffon Top,Rs. 1298,24.3k
tops/stylecast+x+slyck/stylecast-x-slyck-self-design-bell-sleeves-top/26028748/buy,Rs. 399,3.9,Stylecast X Slyck,Self Design Bell Sleeves Top,Rs. 1299,357
tops/stylecast/stylecast-beige-shirt-collar-cotton-shirt-style-top/29519730/buy,Rs. 1299,2.7,StyleCast,Cotton Shirt Style Top,Rs. 3049,20
tops/her+by+invictus/her-by-invictus-women-copper-toned-solid-regular-top/11208202/buy,Rs. 659,4,her by invictus,Solid Regular Top,Rs. 1199,1.7k
tops/fablestreet/fablestreet-geometric-printed-cowl-neck-satin-top/25372188/buy,Rs. 1675,4.4,FableStreet,Cowl Neck Satin Top,Rs. 2295,75
tops/sangria/sangria-teal-blue-embroidered-longline-top/19066168/buy,Rs. 619,3.9,Sangria,Embroidered Top,Rs. 1999,9k
tops/stylecast+x+revolte/stylecast-x-revolte-v-neck-short-sleeves-casual-top/29526358/buy,Rs. 949,2.8,StyleCast x Revolte,V-Neck Casual Top,Rs. 2549,5
