URL,Discount,Rating,Brand,Item,MRP,Reviews
sarees/kalini/kalini-ethnic-motif-woven-design-zari-pure-silk-kanjeevaram-saree/22536176/buy,Rs. 593,3.7,KALINI,Kanjeevaram Pure Silk Saree,Rs. 3299,8.7k
sarees/mitera/mitera-off-white-embellished-sequined-saree/24859972/buy,Rs. 1649,3.6,Mitera,Embellished Saree,Rs. 6599,403
sarees/kalini/kalini-ethnic-motifs-zari-art-silk-banarasi-saree/28400022/buy,Rs. 651,3.6,KALINI,Ethnic Motifs Banarasi Saree,Rs. 3258,56
sarees/saree+mall/saree-mall-ethnic-motifs-zari-kanjeevaram-sarees/21265374/buy,Rs. 1989,4.3,Saree mall,Ethnic Motifs Saree,Rs. 6399,1.5k
sarees/sangria/sangria-embroidered-saree-with-blouse/24067756/buy,Rs. 1259,3.9,Sangria,Embroidered Saree With Blouse,Rs. 4499,403
sarees/koskii/koskii-floral-gotapatti-embroidered-tissue-saree/30032086/buy,Rs. 5690,,Koskii,Floral Gotapatti Tissue Saree,Rs. 5990,
sarees/saree+mall/saree-mall-floral-woven-design-embellished-bagru-sarees/23978962/buy,Rs. 1699,3.8,Saree mall,Floral Woven Design Sarees,Rs. 5899,958
sarees/silk+land/silk-land-ethnic-motifs-zari-kasauv-saree/17781794/buy,Rs. 611,4.2,Silk Land,Ethnic Motifs Kasauv Saree,Rs. 3596,1.8k
sarees/divastri/divastri-ethnic-motif-woven-design-zari-banarasi-saree/23313962/buy,Rs. 799,2.1,DIVASTRI,Woven Design Banarasi Saree,Rs. 3999,28
sarees/fabmora/fabmora-embroidered-embellished-saree/26869550/buy,Rs. 1398,3.7,FABMORA,Embroidered Embellished Saree,Rs. 4663,214
sarees/anouk/anouk-floral-zari-banarasi-saree/21478966/buy,Rs. 1299,4.2,Anouk,Floral Banarasi Saree,Rs. 4999,2.5k
sarees/kalini/kalini-ethnic-motifs-woven-design-zari-banarasi-saree/28400030/buy,Rs. 651,3.5,KALINI,Ethnic Motifs Banarasi Saree,Rs. 3258,52
