URL,Discount,Rating,Brand,Item,MRP,Reviews
jackets/mango/mango-women-no-longline-denim-jacket/28197958/buy,Rs. 3763,4.1,MANGO,No Longline Denim Jacket,Rs. 5790,7
jackets/montrez/montrez-women-olive-green-crop-denim-jacket/18594044/buy,Rs. 599,4.3,MONTREZ,Crop Denim Jacket,Rs. 1999,138
jackets/only/only-bomber-with-embroidered-jacket/25053766/buy,Rs. 3149,4.3,ONLY,Bomber with Embroidered Jacket,Rs. 6999,6
jackets/harvard/harvard-solid-pure-cotton-denim-jacket/23249516/buy,Rs. 1270,4.6,Harvard,Pure Cotton Denim Jacket,Rs. 3098,40
jackets/mast+%26+harbour/mast--harbour-hooded-tailored-jacket/23303468/buy,Rs. 1214,4,Mast & Harbour,Hooded Tailored Jacket,Rs. 2699,49
jackets/stylecast/stylecast-geometric-printed-longline-tailored-jacket-/27011608/buy,Rs. 1399,,StyleCast,Printed Tailored Jacket,Rs. 3799,
coats/mast+%26+harbour/mast--harbour-checked-notched-lapel-tweed-overcoat/23303514/buy,Rs. 1913,4.2,Mast & Harbour,Checked Tweed Overcoat,Rs. 6599,25
jackets/baesd/baesd-spread-collar-washed-crop-denim-jacket/24638664/buy,Rs. 751,3.6,BAESD,Washed Crop Denim Jacket,Rs. 3755,97
jackets/rareism/rareism-hooded-puffer-jacket/25487650/buy,Rs. 2999,4.2,RAREISM,Hooded Puffer Jacket,Rs. 5999,23
jackets/only/only-women-black-solid-cropped-denim-jacket/18624778/buy,Rs. 1775,4.6,ONLY,Women Solid Denim Jacket,Rs. 3699,43
jackets/mango/mango-pocket-detail-tweed-tailored-jacket/28914384/buy,Rs. 6111,,MANGO,Tweed Tailored Jacket,Rs. 6790,
jackets/mast+%26+harbour/mast--harbour-pure-cotton-denim-jacket/24084940/buy,Rs. 1159,4.2,Mast & Harbour,Pure Cotton Denim Jacket,Rs. 2899,61
jackets/tokyo+talkies/tokyo-talkies-women-blue-solid-denim-jacket/10698736/buy,Rs. 1689,4.2,Tokyo Talkies,Women Solid Denim Jacket,Rs. 2499,9.3k
jackets/roadster/roadster-women-black-solid-padded-jacket/5492288/buy,Rs. 965,4.1,Roadster,Women Solid Padded Jacket,Rs. 2299,15.4k
jackets/only/only-faux-fur-self-design-mock-collar-tailored-jacket/25463060/buy,Rs. 2474,4.5,ONLY,Mock Collar Tailored Jacket,Rs. 5499,24
jackets/mango/mango-sustainable-cotton-crop-denim-jacket/21900940/buy,Rs. 1916,4.5,MANGO,Cotton Crop Denim Jacket,Rs. 4790,46
jackets/jockey/jockey-relaxed-fit-raglan-styled-water-resistant-hoodie-jacket/18634182/buy,,4.1,Jockey,Women Water Resistance Jacket,,94
jackets/harvard/harvard-colourblocked-pure-cotton-crop-denim-jacket/23249542/buy,Rs. 1199,4,Harvard,Pure Cotton Crop Denim Jacket,Rs. 2998,27
jackets/marks+%26+spencer/marks--spencer-women-black-padded-jacket/19810786/buy,,4.1,Marks & Spencer,Women Padded Jacket,,74
coats/trendyol/trendyol-women-beige-solid-cotton-notched-lapel-collar-coats/19564478/buy,Rs. 4079,4.1,Trendyol,Women Solid Cotton Coats,Rs. 6799,25
jackets/mango/mango-faux-leather-jacket/25257082/buy,Rs. 4868,3.7,MANGO,Faux Leather Jacket,Rs. 7490,12
jackets/the+souled+store/the-souled-store-women-blue-cartoon-network-stuck-in-90s-denim-jacket/17385754/buy,Rs. 2029,4.7,The Souled Store,Washed Denim Jacket,Rs. 3499,23
jackets/stylestone/stylestone-women-blue-solid-denim-jacket/12942432/buy,Rs. 1221,4.1,StyleStone,Solid Denim Jacket,Rs. 2599,1.4k
jackets/chemistry/chemistry-spread-collar-denim-jacket/25782442/buy,Rs. 779,4.1,Chemistry,Spread Collar Denim Jacket,Rs. 2599,57
jackets/xohy/xohy-hooded-lightweight-bomber-jacket/26945650/buy,Rs. 674,,Xohy,Hooded Bomber Jacket,Rs. 1499,
jackets/mango/mango-women-solid-denim-jacket/24213154/buy,Rs. 2788,4.5,MANGO,Solid Denim Jacket,Rs. 4290,84
coats/athena/athena-mauve-notched-lapel-collar-woollen-single-breasted-trench-coat/25910816/buy,Rs. 2309,3.9,Athena,Single Breasted Trench Coat,Rs. 6999,79
jackets/rareism/rareism-open-front-suede-short-overlay-jacket/24385480/buy,Rs. 2249,4.3,RAREISM,Suede Short Overlay Jacket,Rs. 4999,10
jackets/brazo/brazo-women-hooded-lightweight-puffer-jacket/24824128/buy,Rs. 1439,4,Brazo,Hooded Puffer Jacket,Rs. 3599,228
jackets/cottinfab/cottinfab-women-black-white-pure-cotton-checked-open-front-jacket/16034786/buy,Rs. 799,4.2,Cottinfab,Cotton Open Front Jacket,Rs. 1999,849
coats/stylecast/stylecast-brown-notched-lapel-collar-longline-trench-coat/25648356/buy,Rs. 1999,2.7,StyleCast,Longline Trench Coat,Rs. 4749,18
jackets/trendyol/trendyol-mock-neck-puffer-jacket/25130654/buy,Rs. 6479,4.6,Trendyol,Mock Neck Puffer Jacket,Rs. 8099,5
