URL,Discount,Rating,Brand,Item,MRP,Reviews
dresses/baesd/baesd-floral-print-fit--flare-dress/29904489/buy,Rs. 599,3.5,BAESD,Floral Print Fit & Flare Dress,Rs. 4999,57
dresses/antheaa/antheaa-purple--black-printed-tiered-maxi-dress/20298550/buy,Rs. 1304,4.3,Antheaa,Printed Tiered Maxi Dress,Rs. 2899,1.6k
dresses/athena/athena-self-design-schiffli-cotton-shirt-dress/21795158/buy,Rs. 1287,3.9,Athena,Self Design Cotton Shirt Dress,Rs. 2995,2.1k
dresses/stylecast/stylecast-black-shoulder-strapped-ruched-fit-and-flare-midi-dress/25323146/buy,Rs. 1299,4.4,StyleCast,Ruched Fit & Flare Midi Dress,Rs. 3349,34
dresses/antheaa/antheaa-floral-print-puff-sleeve-chiffon-a-line-dress/22507328/buy,Rs. 1079,4.2,Antheaa,Floral Print Chiffon A-Line Puff Sleeve Dress,Rs. 2399,911
ethnic-dresses/odd+by+chansi+trendz/odd-by-chansi-trendz-floral-print-boat-neck-sleeveless-flared-georgette-gown-ethnic-dress/28221274/buy,Rs. 999,4.2,ODD BY chansi TRENDZ,Floral Print Gown Ethnic Dress,Rs. 9799,148
dresses/antheaa/antheaa-black-v-neck-knotted-fit--flare-midi-dress/26056378/buy,Rs. 1304,3.6,Antheaa,Fit & Flare Midi Dress,Rs. 2899,392
dresses/claura/claura-blue-floral-printed-mandarin-collar-tiered-cotton-cambric-fit--flare-midi-dress/24052784/buy,Rs. 979,4.3,Claura,Cotton Cambric Midi Dress,Rs. 1999,388
dresses/bani+women/bani-women-ethnic-motifs-midi-dress/21972756/buy,Rs. 983,4.4,Bani Women,Ethnic Motifs Midi Dress,Rs. 2399,1.2k
ethnic-dresses/panit/panit-bandhani-printed-v-neck-anarkali-ethnic-maxi-dress-with-dupatta/22472698/buy,Rs. 1749,4.1,PANIT,Ethnic Maxi Dress With Dupatta,Rs. 4999,908
dresses/sassafras/sassafras-women-mauve-sheath-midi-dress/18110412/buy,Rs. 799,4.3,SASSAFRAS,Sheath Midi Dress,Rs. 1999,1.4k
dresses/stylecast/stylecast-white-self-design-ruffles-bodycon-maxi-dress/26022820/buy,Rs. 1499,,StyleCast,Self Design Bodycon Dress,Rs. 3799,
dresses/baesd/baesd-floral-print-puff-sleeve-georgette-maxi-dress/26694316/buy,Rs. 725,3.8,BAESD,Floral Printed Maxi Dress,Rs. 3499,3.2k
